id,name,url
MM,International Theravada Buddhist Missionary University,http://www.itbmu.org.mm/
CA,Wilfrid Laurier University,http://www.wlu.ca/
US,Dominican College of San Rafael,http://www.dominican.edu/
FR,Institut Textile et Chimique de Lyon,http://www.itech.fr/
SE,Göteborg University,http://www.gu.se/
IN,Amravati University,http://www.amtuni.com/
CN,Wenzhou University,http://www.wzu.edu.cn/
US,New Jersey City University,http://www.njcu.edu/
GH,Ghana Christian University College,http://www.ghanacu.org/
TZ,Sokoine University of Agriculture,http://www.suanet.ac.tz/
LB,"Arts, Sciences and Technology University",http://www.aul.edu.lb/
US,Southwestern Oklahoma State University,http://www.swosu.edu/
CN,Hunan University,http://www.hunu.edu.cn/
AL,Academy of Arts,http://www.akademiaearteve.edu.al/
CH,International University in Geneva,http://www.iun.ch/
CO,Universidad de Caldas,http://www.ucaldas.edu.co/
IN,Dr. Babasaheb Ambedkar Technological University,http://www.dbatechuni.org/
FR,Université de Marne la Vallée,http://www.univ-mlv.fr/
US,Agnes Scott College,http://www.scottlan.edu/
ZW,University of Zimbabwe,http://www.uz.ac.zw/
KR,Hyupsung University,http://www.hyupsung.ac.kr/
BG,"Veliko Turnovo University ""Cyril and Methodius""",http://www.uni-vt.bg/
US,Meredith College,http://www.meredith.edu/
US,Hilbert College,http://www.hilbert.edu/
US,American University,http://www.american.edu/
MX,Universidad del Noroeste,http://www.uno.mx/
JP,Kagoshima University,http://www.kagoshima-u.ac.jp/
CN,Southwest Agricultural University,http://www.swau.edu.cn/
IN,Sambalpur University,http://www.sambalpuruniversitypgc.in/
HU,Andrassy Gyula German Speaking University Budapest,http://www.andrassyuni.hu/
PH,De La Salle University,http://www.dlsu.edu.ph/
CL,Universidad de Los Andes,http://www.uandes.cl/
JP,Tokyo Metropolitan Institute of Technology,http://www.tmit.ac.jp/
MX,Universidad Regiomontana,http://www.ur.mx/
PT,Universidade dos Acores,http://www.uac.pt/
MY,Murni Nursing College,http://www.murni.edu.my/
VN,Foreign Trade University,http://www.ftu.edu.vn/
KG,"Medical Faculty, Osh State University",http://www.oshmed.com/
US,Northern Kentucky University,http://www.nku.edu/
DE,E.A.P. Europäische Wirtschaftshochschule Berlin,http://www.eap.net/
FR,Université des Sciences Sociales (Toulouse I),http://www.univ-tlse1.fr/
US,San Francisco Conservatory of Music,http://www.sfcm.edu/
IL,Hebrew University of Jerusalem,http://www.huji.ac.il/
US,Mills Grae University,http://www.mgu.edu/
KE,Scott Christian University,http://www.scott.ac.ke/
JP,Osaka University of Arts,http://www.osaka-geidai.ac.jp/
IQ,University of Kufa,http://www.uokufa.edu.iq/
RU,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",http://www.mirea.ru/
ID,Universitas Trilogi,http://www.universitas-trilogi.ac.id/
JP,Wakkanai Hokusei Gakuen University,http://www.wakhok.ac.jp/
FR,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,http://www.esstin.u-nancy.fr/
CA,St. Paul University,http://www.ustpaul.ca/
US,Benedictine University,http://www.ben.edu/
NG,Joseph Ayo Babalola University,http://www.jabu.edu.ng/
US,Community College of Denver,http://ccd.rightchoice.org/
NG,Osun State University,http://www.uniosun.edu.ng/
IN,University of Media Arts,http://www.uma.ac.in/
ID,Universitas Negeri Medan,http://www.unimed.ac.id/
US,University of Texas at El Paso,http://www.utep.edu/
JP,Chuo University,http://www.chuo-u.ac.jp/
FR,Ecole Nationale Supérieure des Mines de Douai,http://www.ensm-douai.fr/
MX,Universidad Kino,http://www.unikino.mx/
MM, Technological University (Yangon),http://www.most.gov.mm/ytu/
LV,Police Academy of Latvia,http://www.polak.edu.lv/
IN,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,http://www.pdkv.ac.in/
MA,Institut Supérieur de Commerce et d'Administration des Entreprises,http://www.groupeiscae.ma/
US,Central College,http://www.central.edu/
RU,Biysk State Padagogical University after V.M. Shukshin ,http://www.bigpi.biysk.ru/wwwsite/
IN,Kerala University of Fisheries and Ocean Sciences,http://www.kufos.ac.in/
ID,Universitas Pancasakti Tegal,http://www.upstegal.ac.id/
FR,Université Michel de Montaigne (Bordeaux III ),http://www.montaigne.u-bordeaux.fr/
RU,Moscow Power Engineering Institute (Technical University),http://www.mpei.ac.ru/
PH,University of the City of Manila,http://www.plm.edu.ph/
CN,China Foreign Affairs University,http://www.cfau.edu.cn/
US,Ozark Christian College,http://www.occ.edu/
US,University of Management & Technology,http://www.umtweb.edu/
EC,Universidad Nacional de Chimborazo,http://www.unach.edu.ec/
US,Lynchburg College,http://www.lynchburg.edu/
BR,Universidade Federal do Rio de Janeiro,http://www.ufrj.br/
US,Oklahoma State University - Institute of Technology,http://www.osuit.edu/
ID,Universitas Syiah Kuala,http://www.unsyiah.ac.id/
IN,"National Institute of Technology, Rourkela",http://www.nitrkl.ac.in/
US,Gratz College,http://www.gratzcollege.edu/
BR,Universidade Paulista,http://www.unip-objetivo.br/
AU,University of Technology Sydney,http://www.uts.edu.au/
PL,"State Film, Television and Theatre Higher School Leon Schiller in Lodz",http://www.filmowka.lodz.pl/
IN,Nagpur University,http://www.nagpur-university.com/
IT,University of Urbino,http://www.uniurb.it/
BR,Universidade Federal do Ceará,http://www.ufc.br/
PK,Qurtuba University of Science and Infromation Technology,http://www.qurtuba.edu.pk/
US,Hampton University,http://www.hamptonu.edu/
NG,Kwara State Polytecnic,http://www.kwarapoly.edu.ng/
JP,Hachinohe Institute of Technology,http://www.hi-tech.ac.jp/
TC,Charisma University,http://www.charismauniversity.org/
CL,Universidad Francisco de Aguirre,http://www.unfa.cl/
TN,Université de Sfax,http://www.uss.rnu.tn/
PK,"Preston University, Pakistan Campus",http://www.prestonpak.edu.pk/
LT,Vilnius University,http://www.vu.lt/
JP,Nortre Dame Seishin University,http://www.ndsu.ac.jp/
US,Wittenberg University,http://www.wittenberg.edu/
US,Lane College,http://www.lanecollege.edu/
US,Notre Dame College of Ohio,http://www.ndc.edu/
SK,Slovak University of Technology in Bratislava,http://www.stuba.sk/
TH,Assumption University of Thailand,http://www.au.edu/
ID,Politeknik Negeri Semarang,http://www.polines.ac.id/
JP,University of the Ryukyus,http://www.u-ryukyu.ac.jp/
JP,Seikei University,http://www.seikei.ac.jp/
PL,University of Gdansk,http://www.univ.gda.pl/
JP,Ibaraki University,http://www.ibaraki.ac.jp/
IN,ARYA Institute of Engineering & Technology,http://www.aryainstitutejpr.com/
TN,Instituts Supérieurs de Formation des Maîtres,http://www.disfm.rnu.tn/
FO,University of the Faroe Islands,http://www.setur.fo/
RU,St. Petersburg StateMechnikov  Medical Academy,http://www.spsmma.com/
US,"Mercer University, Cecil B. Day Campus",http://www.mercer.edu/cbd/
CL,Universidad de Concepcion,http://www.udec.cl/
SN,Université Dakar Bourguiba,http://www.udb.sn/
CR,Universidad Braulio Carrillo,http://www.universidadbrauliocarrillo.com/
US,Kankakee Community College,http://www.kankakeecc.org/
US,Delaware State University,http://www.dsc.edu/
JP,Kochi University,http://www.kochi-u.ac.jp/
KE,Presbyterian University of East Africa,http://www.puea.ac.ke/
CA,McMaster University,http://www.mcmaster.ca/
BE,Université Libre de Bruxelles,http://www.ulb.ac.be/
TW,TaiChung Healthcare and Management University,http://www.thmu.edu.tw/
CA,"École nationale d'administration publique, Université du Québec",http://www.enap.uquebec.ca/
BR,Universidade Federal de Lavras,http://www.ufla.br/
CA,University of Victoria,http://www.uvic.ca/
CO,Universidad de Sucre,http://www.unisucre.edu.co/
TH,"Rajamangala University of Technology, Phra Nakhon",http://www.rmutp.ac.th/
EG,Helwan University,http://www.helwan.edu.eg/
US,College of the Atlantic,http://www.coa.edu/
CA,Concordia University College of Alberta,http://www.concordia.ab.ca/
US,Adams State College,http://www.adams.edu/
TH,Siam University,http://www.siam.edu/
EG,American University in Cairo,http://www.aucegypt.edu/
DE,Hochschule für Technik und Wirtschaft des Saarlandes,http://www.htw-saarland.de/
MX,Universidad Franco-Mexicana,http://www.ufram.edu.mx/
US,Jones International University,http://www.jonesinternational.edu/
ID,Universitas Sarjanawiyata Tamansiswa,http://www.sarjanawiyata.ac.id/
US,Occidental College,http://www.oxy.edu/
NG,Sokoto State University ,http://www.ssu.edu.ng/
CA,Université du Québec en Outaouais,http://www.uqo.ca/
AZ,Western University,http://www.wu.edu.az/
US,Arcadia University,http://www.arcadia.edu/
PK,Arid Agriculture University,http://www.uaar.edu.pk/
FR,Ecole Nationale des Travaux Publics de l'Etat,http://www.entpe.fr/
ES,Universidad de La Rioja,http://www.unirioja.es/
US,Northeastern State University,http://www.nsuok.edu/
GR,Technical University of Crete,http://www.tuc.gr/
US,Sullivan College,http://www.sullivan.edu/
IE,University College Cork,http://www.ucc.ie/
VN,FPT University,http://www.fpt.edu.vn/
US,Southern Arkansas University,http://www.saumag.edu/
JP,Gifu Pharmaceutical University,http://www.gifu-pu.ac.jp/
US,Gordon College,http://www.gordon.edu/
LV,National Defence Academy of Latvia,http://www.mil.lv/
HN,"Universidad Pedagógica Nacional ""Francisco Morazán""",http://www.upnfm.edu.hn/
US,Framingham State College,http://www.framingham.edu/
KW,Kuwait International Law School,http://www.kilaw.edu.kw/
NP,Purbanchal University,http://www.purbuniv.edu.np/
CY,Cyprus International Institute of Management (CIIM),http://www.ciim.ac.cy/
KR,Kaya University,http://www.kaya.ac.kr/
CO,Centro de Estudios Investigación y Tecnología (CEIT),http://www.iceit.edu.co/
PR,"Universidad de Puerto Rico, Ponce",http://upr-ponce.upr.edu/
GY,Gemsville Technical University,http://www.gemsvilleuniversity.com/
GR,Technological Education Institute of Serres,http://www.teiser.gr/
PT,Universidade Aberta Lisboa,http://www.univ-ab.pt/
AF,Jawzjan University,http://www.ju.edu.af/
US,Spalding University,http://www.spalding.edu/
US,Westminster College of Salt Lake City,http://www.wcslc.edu/
NP,Pokhara University,http://www.pu.edu.np/
MX,Universidad de Montemorelos,http://www.umontemorelos.edu.mx/
VN,Vietnam Maritime University,http://www.vimaru.edu.vn/
CO,Universidad Católica de Colombia,http://www.ucatolica.edu.co/
IN,First Global University to teaching Jainism,http://www.jainuniversity.org/
CN,Fujian University of Traditional Chinese Medicine,http://www.fjtcm.edu.cn/
RO,University of Pitesti,http://www.upit.ro/
RU,Tyumen State University of Gas and Oil,http://www.tsogu.ru/
US,Paine College,http://www.paine.edu/
US,Detroit College of Business - Flint,http://www.davenport.edu/e3front.dll?durki=1283
BR,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,http://www.unijui.tche.br/
BR,Universidade Federal do Pará,http://www.ufpa.br/
SV,Universidad de Sonsonate,http://www.usonsonate.edu.sv/
TR,Galatasaray University,http://www.gsu.edu.tr/
GR,Aristotle University of Thessaloniki,http://www.auth.gr/
KR,Korea Advanced Institute of Science & Technology,http://www.kaist.ac.kr/
VN,Hanoi National Economics University,http://www.neu.edu.vn/
JP,Daito Bunka University,http://www.daito.ac.jp/
PK,University of Malakand,http://www.uom.edu.pk/
ID,Trisakti Institute of Tourism ,http://www.stptrisakti.ac.id/
US,"Florida Metropolitan University, Tampa College",http://www.fmu.edu/762/f-762.htm
US,Tusculum College,http://www.tusculum.edu/
MX,Universidad España de Durango,http://www.unes.edu.mx/
UA,Ukrainian Academy of Pharmacy,http://www.ukrfa.kharkov.ua/
US,Scholl College of Podiatric Medicine,http://www.scholl.edu/
IL,Ariel University Center of Samaria,http://www.ariel.ac.il/
NL,Roosevelt Academy University College,http://www.roac.nl/
CA,Trinity Western University,http://www.twu.ca/
US,Virginia State University,http://www.vsu.edu/
JP,Miyagi University,http://www.myu.ac.jp/
US,Worcester Polytechnic Institute,http://www.wpi.edu/
ES,Universidad Cardenal Herrera-CEU,http://www.uchceu.es/
HU,Hungarian Academy of Craft and Design,http://www.mif.hu/
JP,Sagami Women's University,http://www.sagami-wu.ac.jp/
BR,Faculdade Italo Brasileira,http://www.italo.br/
RU,Magnitogorsk State University,http://www.masu.ru/
IN,Jai Prakash University,http://jpv.bih.nic.in/
US,"California State University, Fullerton",http://www.fullerton.edu/
NG,Crawford University ,http://www.crawforduniversity.edu.ng/
AZ,Sumgait State University,http://www.sdu.edu.az/
IR,Payame Noor University,http://www.pnu.ac.ir/
JP,Kanazawa Medical University,http://www.kanazawa-med.ac.jp/
US,Berean University of the Assemblies of God,http://www.berean.edu/
RU,Volgograd State University,http://www.volsu.ru/
HU,Debrecen University of Agricultural Sciences,http://www.agr.unideb.hu/
US,Medical College of Ohio,http://www.mco.edu/
CR,Universidad de San José,http://www.universidadsanjosecr.com/
US,University of Mississippi,http://www.olemiss.edu/
DO,Universidad Abierta Para Adultos,http://www.uapa.edu.do/
US,University of Phoenix,http://www.phoenix.edu/
TW,Soochow University,http://www.scu.edu.tw/
JP,St. Marianna University School of Medicine,http://www.marianna-u.ac.jp/
MA,Institut National des Postes et Télécommunications,http://www.inpt.ac.ma/
US,Great Lakes Christian College,http://www.glcc.edu/
HU,University of Veterinary Science,http://www.univet.hu/
IQ,Baghdad College of Pharmacy,http://www.bpc.edu.iq/
CN,Xi'an University of Electronic Science and Technology,http://www.xidian.edu.cn/
,Institute of Information Technology,http://www.iit.com.na/
AU,University of Tasmania,http://www.utas.edu.au/
FR,Université de Metz,http://www.univ-metz.fr/
HU,University of Horticulture and Food Industry,http://www.kee.hu/
FI,Abo Akademi University,http://www.abo.fi/
US,"Davenport College of Business, Lansing",http://www.davenport.edu/lansing/
IL,Open University of Israel,http://www.openu.ac.il/
CN,Sichuan Agricultural University,http://www.sicau.edu.cn/
TR,Turkish Military Academy,http://www.kho.edu.tr/
GR,American College of Greece,http://www.acg.gr/
DE,Friedrich-Alexander Universität Erlangen-Nürnberg,http://www.uni-erlangen.de/
US,Appalachian State University,http://www.appstate.edu/
FR,Ecole Nationale Supérieure des Telecommunications de Paris,http://www.enst.fr/
US,Research College of Nursing - Rockhurst University,http://www.rockhurst.edu/3.0/academic_programs/nursing/admis3.html
CN,China University of Geoscience Beijing,http://www.cugb.edu.cn/
IN,Awadhesh Pratap Singh University,http://www.apsurewa.nic.in/
IT,University of Pisa,http://www.unipi.it/
US,Rose-Hulman Institute of Technology,http://www.rose-hulman.edu/
PE,Universidad Peruana Cayetano Heredia,http://www.upch.edu.pe/
TW,Taipei Physical Education College,http://www.tpec.edu.tw/
BY,Belarussian State University of Transport,http://www.belsut.gomel.by/
US,Malone College,http://www.malone.edu/
DE,Fachhochschule für Oekonomie und Management (FOM),http://www.fom.de/
US,University of Wisconsin - Stevens Point,http://www.uwsp.edu/
CN,Tibet University,http://www.utibet.edu.cn/
MX,"Universidad Iberoamericana, Campus León",http://www.leon.uia.mx/
US,Cardinal Stritch University,http://www.stritch.edu/
FR,Ecole Nationale Supérieure de Physique de Strasbourg,http://www-ensps.u-strasbg.fr/
IN,Vikram University,http://www.vikramuniversity.org/
JO,Arab Open University,http://www.aou.edu.jo/
IQ,University of Dohuk (Kurdistan Region),http://www.uod.ac/
MX,"Instituto Politécnico Nacional, Campus Guanajuato",http://www.upiig.ipn.mx/
IQ,Thi Qar University,http://www.thiqaruni.org/
FR,Université de Valenciennes et du Hainaut-Cambrésis,http://www.univ-valenciennes.fr/
GE,Tbilisi State University,http://www.tsu.edu.ge/
CN,Shanghai Second Polytechnic University,http://www.shspu.edu.cn/
SK,Catholic University in Ruzomberok,http://www.ku.sk/
JP,Hiroshima University of Economics,http://www.hue.ac.jp/
JP,Tsuda College,http://www.tsuda.ac.jp/
JP,Yasuda Women's University,http://www.yasuda-u.ac.jp/
RS,University of Belgrade,http://www.bg.ac.rs/
US,St. Lawrence University,http://www.stlawu.edu/
US,Erskine College,http://www.erskine.edu/
TR,Mustafa Kemal University,http://www.mku.edu.tr/
US,Columbia University,http://www.columbia.edu/
US,Texas A&M University - Corpus Christi,http://www.tamucc.edu/
US,Hiram College,http://www.hiram.edu/
CN,Zhongnan University of Technology,http://www.zhnut.edu.cn/
US,Arlington Baptist College,http://www.abconline.edu/
CN,Inner Mongolia Agricultural University,http://www.imau.edu.cn/
TN,Université de la Manouba,http://www.uma.rnu.tn/
JP,Tokyo University of Agriculture,http://www.nodai.ac.jp/
US,Monterey Institute of International Studies,http://www.miis.edu/
DE,Philosophisch-Theologische Hochschule Vallendar der Gesellschaft des Katholischen Apostolates (Pallottiner),http://www.pthv.de/
PL,Technical University of Gdansk,http://www.pg.gda.pl/
US,Earlham College,http://www.earlham.edu/
MV,Maldives National University,http://www.mnu.edu.mv/
PK,College of Business Management ( CBM ),http://www.cbm.edu.pk/
IR,Baghyatoolah Medical Sciences University,http://www.bmsu.ac.ir/
US,University of Maryland Medicine,http://www.umm.edu/
US,"City University of New York, Queens College",http://www.qc.edu/
SE,"University College of Arts, Crafts and Design",http://www.konstfack.se/
IQ,Kerbala University,http://www.uokerbala.edu.iq/
FR,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,http://www.ensaia.u-nancy.fr/
NO,Oslo School of Architecture,http://www.aho.no/
FR,Université de Montpellier II,http://www.univ-montp2.fr/
SS,University of Juba,http://www.juba.edu.sd/
TH,Krirk University,http://www.krirk.ac.th/
ID,Universitas Dr. R. Moestopo,http://www.moestopo.ac.id/
CA,Yukon College,http://www.yukoncollege.yk.ca/
IN,Jiwaji University,http://www.jiwaji.edu/
LK,Sri Lanka Institute of Information Technology (SLIT),http://www.sliit.lk/
MX,Universidad Autónoma de San Luis Potosí,http://www.uaslp.mx/
