key,New_ID
iclr/XuZHLSX19,227
issac/GustavsonY76,228
camad/EsfahaniMMRDR15,229
jcis/WangHHW06,230
ssdbm/VlachouDH12,231
ntms/KellokoskiK012,232
nsdi/AdyaDW10,233
ssdbm/ChengZR17,234
mfi/XiaoLS14,235
ssdbm/LeyshockMT14,236
issac/MorelSV09,237
weis/WondracekHPKK10,238
issac/RoelofsG91,239
issac/SturmT11,240
ntms/HamouidA12,241
camad/SmpokosLMSA17,242
cepes/Siklossy89,243
issac/Yun76,244
camad/CejkaRK14,245
ssdbm/InanGES16,246
issac/GeddesLL04,247
depcos/Savrasovs15,248
iclr/GroverWZE19,249
nooj/Duran18,250
issac/AbramovP01,251
iclr/LiCPZ19,252
w2gis/LimHC05,253
ssdbm/KornJJ99,254
ntms/RathoreSG19,255
pfe/HallsteinsenB01,256
iclr/AthiwaratkunW18,257
camad/TsolkasXPM10,258
jcis/MajumdarV02,259
jcis/OkoraforL02,260
w2gis/HaddadZACLG09,261
issac/DinS03,262
issac/Middeke17,263
jcis/LitvinenkoFTH02,264
camad/ArvanitakiP17,265
issac/CollinsA76,266
issac/Linton18,267
issac/Munro16,268
jcis/AguiarSS06,269
ntms/PenchevaA18,270
jcis/BorgR02,271
camad/Sykes94,272
ntms/EntezamiP15,273
issac/Laubenbacher03,274
nsdi/Douglis08,275
adl/DanielLP98,276
issac/Buse01,277
iiswc/LiuTY10,278
depcos/DettoniLL13,279
issac/DicrescenzoD88,280
jcis/DongGYWH06a,281
nsdi/WangBKW13,282
weis/Edelman06,283
iclr/OConnorGRW18,284
weis/WarmaBCCG08,285
iclr/FernandezCSS18,286
jcis/Ferreira02,287
future/TanakaQ92,288
issac/AnaiW00,289
w2gis/BakillahL12,290
depcos/SilvaMLGH08,291
camad/EfstathopoulosR19,292
iclr/SaitoUHS18,293
nsdi/YuJM13,294
issac/GuoL11,295
ntms/KambouB19,296
mfi/KrauthausenH10,297
depcos/BuslaevV14,298
nsdi/KhalidA19,299
ssdbm/PhamM15,300
iclr/HaDL17,301
iclr/DiPietroRNH18,302
mfi/SunZ12,303
iiswc/VenkataAJGLGBT09,304
issac/Janovitz-FreireichRS06,305
jcis/Lee06,306
ssdbm/MehrenGVRHZ18,307
depcos/Araragi06,308
mfi/XiaoLS14,309
jcis/TaiH06,310
weis/LiuC06,311
issac/Weber94,312
issac/GiesbrechtR08,313
w2gis/DijkH13,314
ntms/MsahliLA19,315
mfi/StemmerSAA06,316
depcos/CatalDO07,317
weis/CremoniniM05,318
ntms/FerrarisGL18,319
ssdbm/BurnettCT83,320
iclr/NyeS18,321
jcis/ChuanSXKYPL02,322
ntms/AvalloneS14,323
ntms/SantisLFF18,324
w2gis/Bellur14,325
mfi/SongWWP12,326
jcis/Lee06,327
nsdi/ReynoldsKWMSV06,328
weis/FarahmandNSE05,329
fcs/Chen09,330
semwiki/Kuhn08,331
iclr/LiT18,332
iclr/PimentelVZ17,333
iclr/ChenZZTGZLSCC19,334
adl/OhsawaBY98,335
jcis/HuetlLP06,336
ntms/CoriciESMMV14,337
depcos/TorresA09,338
camad/AlexandrisKAH18,339
nsdi/ChowdhuryLGS16,340
cepes/Knott89,341
ssdbm/DeanS96,342
nsdi/DragojevicNCH14,343
issac/BrakeHL16,344
jcis/TsaiLW06,345
nsdi/BrodskyB07,346
issac/Geddes86,347
nsdi/ChunDHSWKKM06,348
iclr/LiuLPKYHY19,349
ntms/GezginUEABG15,350
ssdbm/GoonetillekeKSL17,351
ciise/Caggiano18,352
ssdbm/GoonetillekeKSL17,353
ntms/JemiliCBM12,354
nsdi/LiZZCGW10,355
mfi/GulatiSZCK17,356
depcos/SugierA07,357
ssdbm/KellyC94,358
adl/Krellenstein99,359
camad/NorthcoteT10,360
issac/HoffmannL18,361
future/BertinoBDMMR92,362
nsdi/Katz-BassettMASSWAK10,363
icsem/SofferC07,364
weis/Rue07,365
future/KambayashiCK92,366
camad/YaacoubIDA13,367
iclr/BajorL17,368
iiswc/WeaverM08,369
ssdbm/KafatosWLYZ98,370
ntms/SunZYC15,371
ssdbm/BuurenMB94,372
iiswc/RodriguesRL17,373
iclr/CubukZSL18,374
depcos/PasRSL19,375
weis/Lam15,376
issac/SarkarS11,377
camad/GuglielmiB15,378
nsdi/MahajanRWZ05,379
ntms/IrieKM15,380
nsdi/Freedman10,381
adl/BohmBKS00,382
vismath/BeckDHSS95,383
issac/KannoYAH08,384
iclr/KhrulkovHO19,385
issac/HoeijKN11,386
ssdbm/WeissW83,387
issac/EderP11,388
issac/Richardson95,389
issac/Butler86,390
iclr/GordonBBNT19,391
jcis/YaoGSC02,392
jcis/HongLW06,393
ntms/ZhangT08,394
w2gis/OkuH10,395
adl/HoppenbrouwersP00,396
issac/CorlessGJ99,397
ssdbm/DiekerGL00,398
iclr/MurphySRR19,399
iclr/WangBB19,400
ntms/NakaoTTO15,401
jcis/BinnerJKTT06,402
camad/NarayananTPM18,403
issac/LiCKCY18,404
iclr/ScellierGBMB18,405
ssdbm/Pillay99,406
w2gis/FrentzosGT07,407
nooj/MirtoC17,408
iclr/YoonLXZFUZP18,409
issac/ChenDL18,410
ssdbm/MikesellP01,411
issac/Chen90,412
issac/Jeffrey93,413
w2gis/TezukaT04,414
weis/Sullivan10,415
camad/PatouniFA12,416
jcis/JimenezSG02,417
nsdi/KazemianVM12,418
adl/KleinA99,419
issac/BarkatouR12,420
iclr/SavinovRVMPLG19,421
issac/ChenSV13,422
iclr/KongLMS19,423
nsdi/AroraFSS11,424
iclr/ShuN18,425
weis/ZhaoJ08,426
ssdbm/LenzT01,427
fcs/DeksnisFSTZ08,428
iclr/SharmaSMKB18,429
ssdbm/Rowe83,430
camad/PfefferkornHB17,431
issac/Nagasaka11,432
ssdbm/Childs83,433
ntms/Higaki12,434
fcs/ChenCHCH09,435
vismath/Hoffmann97,436
ntms/MagrahiOSJ18,437
mfi/LiFXSDL15,438
camad/MiaoXQW15,439
weis/Cho11,440
jcis/ChenLW06a,441
nsdi/El-HassanyTVV18,442
issac/Brehard18,443
camad/LundqvistKG17,444
depcos/Zuberek13,445
ssdbm/JurgensL99,446
camad/LiotouSKT17,447
ssdbm/KougkaG12,448
issac/Schost02,449
mfi/AlizadehS17,450
w2gis/SatoM04,451
mfi/LanSLOLLH16,452
iclr/AroraLL19,453
mfi/BaiLT12,454
ssdbm/HalkidiBV01,455
issac/Monagan04,456
issac/AmrheinGK96,457
iclr/AthiwaratkunFIW19,458
ntms/FaycalS08,459
iclr/McNamaraB17,460
camad/SouzaMMRS17,461
camad/HashizumePKT12,462
issac/Stehle17,463
iclr/AntoniouES19,464
iclr/DaskalakisISZ18,465
mfi/LiIMR16,466
mfi/WangQ14,467
camad/AyenewXPM18,468
issac/MaySW07,469
mfi/LiLLLS12,470
jcis/ChenM06,471
iclr/ShahMCSS18,472
camad/ChangR12,473
nsdi/CuiXWYZLYG16,474
jcis/ChenR02,475
weis/BalakrishnanGI08,476
depcos/Sergeevitch07,477
jcis/LipikornSHK02,478
jcis/LiWCC06,479
ntms/AlzahraniW08,480
iclr/Chvalovsky19,481
depcos/WalkowiakM06,482
issac/Hearn76,483
depcos/Jodejko-Pietruczuk16,484
issac/ChibisovM07,485
iclr/KoolHW19,486
iclr/WangJYLLF19,487
iclr/XiaoHM18,488
ssdbm/KazempourMK017,489
depcos/Walkowiak14,490
ciise/Brusa16,491
iclr/DasDZM19,492
jcis/FanjiangK06,493
nsdi/RoseMPLRW07,494
ssdbm/LangguthS10,495
jcis/Huang06c,496
vismath/ScheuermannHK97,497
iiswc/KanevHWB14,498
weis/BergemannEFS05,499
nsdi/SimonAM07,500
ntms/SantisLFF16,501
issac/CarvajalCG05,502
ntms/Chung11,503
