,key,booktitle,year
1866,ic/2000,International Conference on Internet Computing,2000
1867,ic/2010,International Conference on Internet Computing,2010
1868,latincom/2015,LATINCOM,2015
1869,latincom/2015lawc,LAWC@LATINCOM,2015lawc
1870,latincom/2016,LATINCOM,2016
1871,latincom/2012,LATINCOM,2012
1872,latincom/2014,LATINCOM,2014
1873,latincom/2017,LATINCOM,2017
1874,latincom/2018,LATINCOM,2018
1875,expat/2015,exp.at,2015
1876,expat/2019,exp.at,2019
1877,expat/2013,exp.at,2013
1878,expat/2017,exp.at,2017
1879,gmai/2006,GMAI,2006
1880,csb/2002,CSB,2002
1881,csb/2005,CSB,2005
1882,csb/2003,CSB,2003
1883,csb/2004,CSB,2004
1884,csb/2005w,CSB Workshops,2005w
1885,icitam/2017,ICITAM,2017
1886,sdf/2015,SDF,2015
1887,sdf/2013,SDF,2013
1888,sdf/2012,SDF,2012
1889,sdf/2017,SDF,2017
1890,sdf/2018,SDF,2018
1891,cisse/2007scss1,SCSS (1),2007scss1
1892,cisse/2009scss,SCSS,2009scss
1893,cisse/2008scss2,SCSS (2),2008scss2
1894,cisse/2008scss1,SCSS (1),2008scss1
1895,cisse/2008eiae,EIAT/IETA,2008eiae
1896,cisse/2008tene,TeNe,2008tene
1897,ihc/2015,IHC,2015
1898,ihc/2013waihcws,WAIHCWS,2013waihcws
1899,ihc/2012c,IHC (Companion),2012c
1900,ihc/2013weihc,WEIHC,2013weihc
1901,ihc/2019,IHC,2019
1903,ihc/2006,IHC,2006
1904,ihc/2013,IHC,2013
1905,ihc/2014c,IHC (Companion),2014c
1906,ihc/2012weihc,WEIHC,2012weihc
1907,ihc/2016,IHC,2016
1908,ihc/2012,IHC,2012
1909,ihc/2014,IHC,2014
1910,ihc/2017waihcws,WAIHCWS,2017waihcws
1911,ihc/2016waihcws,WAIHCWS,2016waihcws
1912,ihc/2012waihcws,WAIHCWS,2012waihcws
1913,ihc/2017,IHC,2017
1914,ihc/2010,IHC,2010
1915,ihc/2011,IHC+CLIHC,2011
1916,ihc/2018,IHC,2018
1917,ei/1998,Electronic Imaging,1998
1918,wcflp/2005,WCFLP,2005
1919,wimpel/1988,WIMPEL,1988
1920,icdma/2012,ICDMA,2012
1921,icdma/2011,ICDMA,2011
1922,tst/2015,TST,2015
1923,tst/2013,TST,2013
1924,tst/2016,TST,2016
1925,tst/2012,TST,2012
1926,tst/2014,TST,2014
1927,tst/2017,TST,2017
1928,tst/2010,TST,2010
1929,tst/2011,TST,2011
1930,tst/2018,TST,2018
1931,mobimedia/2007,MobiMedia,2007
1932,mobimedia/2009,MobiMedia,2009
1933,mobimedia/2008,MOBIMEDIA,2008
1934,mobimedia/2006,MobiMedia,2006
1935,mobimedia/2016,MobiMedia,2016
1936,mobimedia/2010,MobiMedia,2010
1937,mobimedia/2011,MobiMedia,2011
1938,complife/2005,CompLife,2005
1939,complife/2006,CompLife,2006
1940,mobiwis/2015,MobiWis,2015
1941,mobiwis/2019,MobiWIS,2019
1942,mobiwis/2013,MobiWIS,2013
1943,mobiwis/2016,MobiWIS,2016
1944,mobiwis/2014,MobiWIS,2014
1945,mobiwis/2017,MobiWIS,2017
1946,mobiwis/2018,MobiWIS,2018
1947,arabwic/2019,ArabWIC,2019
1948,cisched/2007,CISched,2007
1949,cisched/2009,CISched,2009
1950,cisched/2013,CISched,2013
1951,cisched/2011,CISched,2011
1952,icpads/2002,ICPADS,2002
1953,icpads/2007,ICPADS,2007
1954,icpads/2015,ICPADS,2015
1955,icpads/2009,ICPADS,2009
1956,icpads/1994,ICPADS,1994
1957,icpads/2000w,ICPADS Workshops,2000w
1958,icpads/2005,ICPADS,2005
1959,icpads/2008,ICPADS,2008
1960,icpads/2006,ICPADS,2006
1961,icpads/2013,ICPADS,2013
1962,icpads/2001,ICPADS,2001
1963,icpads/2016,ICPADS,2016
1964,icpads/1996,ICPADS,1996
1965,icpads/2012,ICPADS,2012
1966,icpads/2014,ICPADS,2014
1967,icpads/2004,ICPADS,2004
1968,icpads/1997,ICPADS,1997
1969,icpads/2000,ICPADS,2000
1970,icpads/2017,ICPADS,2017
1971,icpads/2010,ICPADS,2010
1972,icpads/2011,ICPADS,2011
1973,icpads/2018,ICPADS,2018
1974,icpads/1998,ICPADS,1998
1975,acivs/2007,ACIVS,2007
1976,acivs/2015,ACIVS,2015
1977,acivs/2009,ACIVS,2009
1978,acivs/2005,ACIVS,2005
1979,acivs/2008,ACIVS,2008
1980,acivs/2006,ACIVS,2006
1981,acivs/2010-1,ACIVS (1),2010-1
1982,acivs/2013,ACIVS,2013
1983,acivs/2016,ACIVS,2016
1984,acivs/2012,ACIVS,2012
1985,acivs/2017,ACIVS,2017
1986,acivs/2011,ACIVS,2011
1987,acivs/2018,ACIVS,2018
1988,acivs/2010-2,ACIVS (2),2010-2
1989,ammds/2014,AMMDS,2014
1990,nca/2007,NCA,2007
1991,nca/2015,NCA,2015
1992,nca/2009,NCA,2009
1993,nca/2005,NCA,2005
1994,nca/2008,NCA,2008
1995,nca/2003,NCA,2003
1996,nca/2006,NCA,2006
1997,nca/2013,NCA,2013
1998,nca/2001,NCA,2001
1999,nca/2016,NCA,2016
2000,nca/2012,NCA,2012
2001,nca/2014,NCA,2014
2002,nca/2004,NCA,2004
2003,nca/2017,NCA,2017
2004,nca/2010,NCA,2010
2005,nca/2011,NCA,2011
2006,nca/2018,NCA,2018
2007,apaqs/2001,APAQS,2001
2008,apaqs/2000,APAQS,2000
2009,enase/2011east,EAST,2011east
2010,enase/2007,ENASE,2007
2011,enase/2016s,ENASE (Selected Papers),2016s
2012,enase/2015,ENASE,2015
2013,enase/2009,ENASE,2009
2014,enase/2011s,ENASE (Selected Papers),2011s
2015,enase/2014s,ENASE (Selected Papers),2014s
2016,enase/2013s,ENASE (Selected Papers),2013s
2017,enase/2019,ENASE,2019
2018,enase/2011mda,MDA/MDSD,2011mda
2019,enase/2008,ENASE,2008
2020,enase/2013,ENASE,2013
2021,enase/2015s,ENASE (Selected Papers),2015s
2022,enase/2016,ENASE,2016
2023,enase/2012,ENASE,2012
2024,enase/2009s,ENASE (Selected Papers),2009s
2025,enase/2012s,ENASE (Selected Papers),2012s
2026,enase/2014,ENASE,2014
2027,enase/2010mda,MDA/MTDD,2010mda
2028,enase/2017,ENASE,2017
2029,enase/2010s,ENASE (Selected Papers),2010s
2030,enase/2018s,ENASE (Selected Papers),2018s
2031,enase/2010,ENASE,2010
2032,enase/2011,ENASE,2011
2033,enase/2018,ENASE,2018
2034,ihsed/2019,IHSED,2019
2035,ihsed/2018,IHSED,2018
2036,acl2/2006,ACL2,2006
2037,rz/1989,GI-Fachgespräch über Rechenzentren,1989
2038,rz/1991,GI-Fachgespräch über Rechenzentren,1991
2039,rz/1987,GI-Fachgespräch über Rechenzentren,1987
2040,rz/1981,GI-Fachgespräch über Rechenzentren,1981
2041,rz/1983,GI-Fachgespräch über Rechenzentren,1983
2042,rz/1995,GI-Fachtagung über Rechenzentren,1995
2043,rz/1980,Entwicklungstendenzen wissenschaftlicher Rechenzentren,1980
2044,rz/1977,GI-Fachgespräch über Rechenzentren,1977
2045,rz/1985,GI-Fachgespräch über Rechenzentren,1985
2046,rz/1993,GI-Fachgespräch über Rechenzentren,1993
2047,rz/1997,GI-Fachtagung über Rechenzentren,1997
2048,rz/1975,GI-Fachgespräch über Rechenzentren,1975
2049,cirat/2013,CIRAT,2013
2050,cirat/2014,CIR2AT,2014
2051,netgames/2002,NETGAMES,2002
2052,netgames/2007,NETGAMES,2007
2053,netgames/2015,NetGames,2015
2054,netgames/2009,NetGames,2009
2055,netgames/2005,NETGAMES,2005
2056,netgames/2008,NETGAMES,2008
2057,netgames/2003,NETGAMES,2003
2058,netgames/2006,NETGAMES,2006
2059,netgames/2013,NetGames,2013
2060,netgames/2012,NetGames,2012
2061,netgames/2014,NetGames,2014
2062,netgames/2004,NETGAMES,2004
2063,netgames/2017,NetGames,2017
2064,netgames/2010,NetGames,2010
2065,netgames/2011,NetGames,2011
2066,netgames/2018,NetGames,2018
2067,icsoc/2007,ICSOC,2007
2068,icsoc/2015,ICSOC,2015
2069,icsoc/2009,ICSOC/ServiceWave,2009
2070,icsoc/2009w,ICSOC/ServiceWave Workshops,2009w
2071,icsoc/2010w,ICSOC Workshops,2010w
2072,icsoc/2005,ICSOC,2005
2073,icsoc/2017w,ICSOC Workshops,2017w
2074,icsoc/2019,ICSOC,2019
2075,icsoc/2008,ICSOC,2008
2076,icsoc/2013w,ICSOC Workshops,2013w
2077,icsoc/2003,ICSOC,2003
2078,icsoc/2006,ICSOC,2006
2079,icsoc/2013,ICSOC,2013
2080,icsoc/2016,ICSOC,2016
2081,icsoc/2012,ICSOC,2012
2082,icsoc/2011w,ICSOC Workshops,2011w
2083,icsoc/2016w,ICSOC Workshops,2016w
2084,icsoc/2014,ICSOC,2014
2085,icsoc/2004,ICSOC,2004
2086,icsoc/2008w,ICSOC Workshops,2008w
2087,icsoc/2014w,ICSOC Workshops,2014w
2088,icsoc/2012w,ICSOC Workshops,2012w
2089,icsoc/2017,ICSOC,2017
2090,icsoc/2008phd,ICSOC PhD Symposium,2008phd
2091,icsoc/2015w,ICSOC Workshops,2015w
2092,icsoc/2007w,ICSOC Workshops,2007w
2093,icsoc/2010,ICSOC,2010
2094,icsoc/2006w,ICSOC Workshops,2006w
2095,icsoc/2011,ICSOC,2011
2096,icsoc/2018w,ICSOC Workshops,2018w
2097,icsoc/2018,ICSOC,2018
2098,IEEEiwcia/2015,IWCIA,2015
2099,IEEEiwcia/2013,IWCIA,2013
2100,IEEEiwcia/2016,IWCIA,2016
2101,IEEEiwcia/2017,IWCIA,2017
2102,icycsee/2015,ICYCSEE,2015
2103,icycsee/2018-1,ICPCSEE (1),2018-1
2104,icycsee/2017-2,ICPCSEE (2),2017-2
2105,icycsee/2016-1,ICYCSEE (1),2016-1
2106,icycsee/2018-2,ICPCSEE (2),2018-2
2107,icycsee/2016-2,ICYCSEE (2),2016-2
2108,icycsee/2017-1,ICPCSEE (1),2017-1
2109,ssiri/2009,SSIRI,2009
2110,ssiri/2012c,SERE (Companion),2012c
2111,ssiri/2010c,SSIRI (Companion),2010c
2112,ssiri/2008,SSIRI,2008
2113,ssiri/2011c,SSIRI (Companion),2011c
2114,ssiri/2013,SERE,2013
2115,ssiri/2014c,SERE (Companion),2014c
2116,ssiri/2013c,SERE (Companion),2013c
2117,ssiri/2012,SERE,2012
2118,ssiri/2014,SERE,2014
2119,ssiri/2010,SSIRI,2010
2120,ssiri/2011,SSIRI,2011
2121,ecsa/2018c,ECSA (Companion),2018c
2122,ecsa/2007,ECSA,2007
2123,ecsa/2015,ECSA,2015
2124,ecsa/2019c,ECSA (Companion),2019c
2125,ecsa/2010c,ECSA Companion Volume,2010c
2126,ecsa/2019,ECSA,2019
2127,ecsa/2016sisos,SiSoS@ECSA,2016sisos
2128,ecsa/2008,ECSA,2008
2129,ecsa/2011c,ECSA Companion Volume,2011c
2130,ecsa/2013,ECSA,2013
2131,ecsa/2017c,ECSA (Companion),2017c
2132,ecsa/2016,ECSA,2016
2133,ecsa/2016w,ECSA Workshops,2016w
2134,ecsa/2014,ECSA,2014
2135,ecsa/2014w,ECSA Workshops,2014w
2136,ecsa/2017,ECSA,2017
2137,ecsa/2015w,ECSA Workshops,2015w
2138,ecsa/2010,ECSA,2010
2139,ecsa/2011,ECSA,2011
2140,ecsa/2018,ECSA,2018
2141,ical/2012,ICAL,2012
2142,ical/2011,ICAL,2011
2143,iceb/2004,ICEB,2004
2144,dtis/2015,DTIS,2015
2145,dtis/2019,DTIS,2019
2146,dtis/2013,DTIS,2013
2147,dtis/2016,DTIS,2016
2148,dtis/2014,DTIS,2014
2149,dtis/2017,DTIS,2017
2150,dtis/2018,DTIS,2018
2151,acns/2019w,ACNS Workshops,2019w
2152,acns/2007,ACNS,2007
2153,acns/2015,ACNS,2015
2154,acns/2009,ACNS,2009
2155,acns/2005,ACNS,2005
2156,acns/2019,ACNS,2019
2157,acns/2008,ACNS,2008
2158,acns/2003,ACNS,2003
2159,acns/2006,ACNS,2006
2160,acns/2013,ACNS,2013
2161,acns/2016,ACNS,2016
2162,acns/2012,ACNS,2012
2163,acns/2014,ACNS,2014
2164,acns/2004,ACNS,2004
2165,acns/2017,ACNS,2017
2166,acns/2010,ACNS,2010
2167,acns/2011,ACNS,2011
2168,acns/2018,ACNS,2018
2169,mms/2007,MMS,2007
2170,mms/2009,MMS,2009
2171,mms/2008,MMS,2008
2172,mms/2006,MMS,2006
2173,mms/2012,MMS,2012
2174,mms/2010,MMS,2010
2175,mms/2011,MMS,2011
2176,ecal/2007,ECAL,2007
2177,ecal/2015,ECAL,2015
2178,ecal/2009-2,ECAL (2),2009-2
2179,ecal/2005,ECAL,2005
2180,ecal/1999,ECAL,1999
2181,ecal/2003,ECAL,2003
2182,ecal/2013,ECAL,2013
2183,ecal/2001,ECAL,2001
2184,ecal/1995,ECAL,1995
2185,ecal/2017,ECAL,2017
2186,ecal/2011,ECAL,2011
2187,ecal/2009-1,ECAL (1),2009-1
2188,3dtv/2015,3DTV-Conference,2015
2189,3dtv/2013,3DTV-Conference,2013
2190,3dtv/2016,3DTV-Conference,2016
2191,3dtv/2012,3DTV-Conference,2012
2192,3dtv/2014,3DTV-Conference,2014
2193,3dtv/2017,3DTV-Conference,2017
2194,3dtv/2018,3DTV-Conference,2018
2195,fhv/1997,Formal Hardware Verification,1997
2196,aisi/2015,AISI,2015
2197,aisi/2019,AISI,2019
2198,aisi/2016,AISI,2016
2199,aisi/2017,AISI,2017
2200,aisi/2018,AISI,2018
2201,tia/2015,TIA,2015
2202,tia/2009,TIA,2009
2203,icisp/2008,ICISP,2008
2204,icisp/2016,ICISP,2016
2205,icisp/2012,ICISP,2012
2206,icisp/2014,ICISP,2014
2207,icisp/2010,ICISP,2010
2208,icisp/2018,ICISP,2018
2209,moco/2015,MOCO,2015
2210,moco/2019,MOCO,2019
2211,moco/2016,MOCO,2016
2212,moco/2014,MOCO,2014
2213,moco/2017,MOCO,2017
2214,moco/2018,MOCO,2018
2215,icuwb/2015,ICUWB,2015
2216,icuwb/2012,ICUWB,2012
2217,icuwb/2017,ICUWB,2017
2218,propor/2008,PROPOR,2008
2219,propor/2003,PROPOR,2003
2220,propor/2006,PROPOR,2006
2221,propor/2016,PROPOR,2016
2222,propor/2012,PROPOR,2012
2224,propor/2010,PROPOR,2010
2225,propor/2018,PROPOR,2018
2226,acsd/2007,ACSD,2007
2227,acsd/2015,ACSD,2015
2228,acsd/2009,ACSD,2009
2229,acsd/2010w,ACSD/Petri Nets Workshops,2010w
2230,acsd/2005,ACSD,2005
2231,acsd/2019,ACSD,2019
2232,acsd/2008,ACSD,2008
2233,acsd/2003,ACSD,2003
2234,acsd/2006,ACSD,2006
2235,acsd/2013,ACSD,2013
2236,acsd/2001,ACSD,2001
2237,acsd/2016,ACSD,2016
2238,acsd/2012,ACSD,2012
2239,acsd/2014,ACSD,2014
2240,acsd/2004,ACSD,2004
2241,acsd/2017,ACSD,2017
2242,acsd/2010,ACSD,2010
2243,acsd/2011,ACSD,2011
2244,acsd/2018,ACSD,2018
2245,acsd/1998,ACSD,1998
2246,pet/2002,Privacy Enhancing Technologies,2002
2247,pet/2007,Privacy Enhancing Technologies,2007
2248,pet/2009,Privacy Enhancing Technologies,2009
2249,pet/2005,Privacy Enhancing Technologies,2005
2250,pet/2008,Privacy Enhancing Technologies,2008
2251,pet/2003,Privacy Enhancing Technologies,2003
2252,pet/2006,Privacy Enhancing Technologies,2006
2253,pet/2013,Privacy Enhancing Technologies,2013
2254,pet/2012,Privacy Enhancing Technologies,2012
2255,pet/2014,Privacy Enhancing Technologies,2014
2256,pet/2004,Privacy Enhancing Technologies,2004
2257,pet/2010,Privacy Enhancing Technologies,2010
2258,pet/2011,Privacy Enhancing Technologies,2011
2259,icccn/2002,ICCCN,2002
2260,icccn/2007,ICCCN,2007
2261,icccn/2015,ICCCN,2015
2262,icccn/2009,ICCCN,2009
2263,icccn/2005,ICCCN,2005
2264,icccn/2019,ICCCN,2019
2265,icccn/1999,ICCCN,1999
2266,icccn/2008,ICCCN,2008
2267,icccn/2003,ICCCN,2003
2268,icccn/2006,ICCCN,2006
2269,icccn/2013,ICCCN,2013
2270,icccn/2001,ICCCN,2001
2271,icccn/2016,ICCCN,2016
2272,icccn/2012,ICCCN,2012
2273,icccn/1995,ICCCN,1995
2274,icccn/2014,ICCCN,2014
2275,icccn/2004,ICCCN,2004
2276,icccn/1997,ICCCN,1997
2277,icccn/2000,ICCCN,2000
2278,icccn/2017,ICCCN,2017
2279,icccn/2010,ICCCN,2010
2280,icccn/2011,ICCCN,2011
2281,icccn/2018,ICCCN,2018
2282,icccn/1998,ICCCN,1998
2283,cser/2013,CSER,2013
2284,cser/2012,CSER,2012
2285,cser/2014,CSER,2014
2286,lmac/2015,LMAC,2015
2287,vvg/2003,VVG,2003
2288,ecis/2002,ECIS,2002
2289,ecis/2007,ECIS,2007
2290,ecis/2015,ECIS,2015
2291,ecis/2009,ECIS,2009
2292,ecis/1994,ECIS,1994
2293,ecis/2005,ECIS,2005
2294,ecis/2019,ECIS,2019
2295,ecis/1999,ECIS,1999
2296,ecis/2008,ECIS,2008
2297,ecis/2003,ECIS,2003
2298,ecis/2006,ECIS,2006
2299,ecis/2013,ECIS,2013
2300,ecis/2001,ECIS,2001
2301,ecis/2016,ECIS,2016
2302,ecis/1996,ECIS,1996
2303,ecis/2012,ECIS,2012
2304,ecis/1995,ECIS,1995
2305,ecis/2014,ECIS,2014
2306,ecis/1993,ECIS,1993
2307,ecis/2004,ECIS,2004
2308,ecis/1997,ECIS,1997
2309,ecis/2019stpis,STPIS@ECIS,2019stpis
2310,ecis/2000,ECIS,2000
2311,ecis/2017,ECIS,2017
2312,ecis/2013ieetel,IEETeL@ECIS,2013ieetel
2313,ecis/2010,ECIS,2010
2314,ecis/2011,ECIS,2011
2315,ecis/2018,ECIS,2018
2316,ecis/1998,ECIS,1998
2317,iwai/1999,IWAI,1999
2318,icqnm/2007,ICQNM,2007
2319,icqnm/2008,ICQNM,2008
2320,ACMmsp/2005,Memory System Performance,2005
2321,ACMmsp/2006,Memory System Performance and Correctness,2006
2322,ACMmsp/2004,Memory System Performance,2004
2323,rbac/1999,RBAC,1999
2324,rbac/1995,RBAC,1995
2325,rbac/1997,RBAC,1997
2326,rbac/2000,RBAC,2000
2327,rbac/1998,RBAC,1998
2328,compgeom/1988,Symposium on Computational Geometry,1988
2329,compgeom/2002,Symposium on Computational Geometry,2002
2330,compgeom/2007,Symposium on Computational Geometry,2007
2331,compgeom/2015,Symposium on Computational Geometry,2015
2332,compgeom/2009,Symposium on Computational Geometry,2009
2333,compgeom/1992,Symposium on Computational Geometry,1992
2334,compgeom/1989,Symposium on Computational Geometry,1989
2335,compgeom/1994,Symposium on Computational Geometry,1994
2336,compgeom/2005,Symposium on Computational Geometry,2005
2337,compgeom/1990,Symposium on Computational Geometry,1990
2338,compgeom/1991,Symposium on Computational Geometry,1991
2339,compgeom/1987,Symposium on Computational Geometry,1987
2340,compgeom/2019,SoCG,2019
2341,compgeom/1999,Symposium on Computational Geometry,1999
2342,compgeom/2008,Symposium on Computational Geometry,2008
2344,compgeom/2006,Symposium on Computational Geometry,2006
2345,compgeom/2013,Symposium on Computational Geometry,2013
2346,compgeom/1986,Symposium on Computational Geometry,1986
2347,compgeom/2001,Symposium on Computational Geometry,2001
2348,compgeom/2016,Symposium on Computational Geometry,2016
2349,compgeom/1996,Symposium on Computational Geometry,1996
2350,compgeom/2012,Symposium on Computational Geometry,2012
2351,compgeom/1995,Symposium on Computational Geometry,1995
2352,compgeom/2014,Symposium on Computational Geometry,2014
2353,compgeom/1985,Symposium on Computational Geometry,1985
2354,compgeom/1993,Symposium on Computational Geometry,1993
2355,compgeom/2004,Symposium on Computational Geometry,2004
2356,compgeom/1997,Symposium on Computational Geometry,1997
2357,compgeom/2000,Symposium on Computational Geometry,2000
2358,compgeom/2017,Symposium on Computational Geometry,2017
2359,compgeom/2010,Symposium on Computational Geometry,2010
2360,compgeom/2011,Symposium on Computational Geometry,2011
2361,compgeom/2018,Symposium on Computational Geometry,2018
2362,compgeom/1998,Symposium on Computational Geometry,1998
2363,hisb/2012,HISB,2012
2364,hisb/2011,HISB,2011
2365,dlfm/2016,DLfM,2016
2366,dlfm/2018,DLfM,2018
2367,tma/2015,TMA,2015
2368,tma/2019,TMA,2019
2369,tma/2016,TMA,2016
2370,tma/2012,TMA,2012
2371,tma/2014,TMA,2014
2372,tma/2017,TMA,2017
2373,tma/2010,TMA,2010
2374,tma/2011,TMA,2011
2375,tma/2018,TMA,2018
2376,mbees/2007,MBEES,2007
2377,mbees/2009,MBEES,2009
2378,mbees/2005,MBEES,2005
2379,mbees/2008,MBEES,2008
2380,mbees/2006,MBEES,2006
2381,mbees/2013,MBEES,2013
2382,mbees/2012,MBEES,2012
2383,mbees/2010,MBEES,2010
2384,mbees/2011,MBEES,2011
2385,ismis/1988,ISMIS,1988
2386,ismis/2002,ISMIS,2002
2387,ismis/2015,ISMIS,2015
2388,ismis/2009,ISMIS,2009
2389,ismis/1994,ISMIS,1994
2390,ismis/2005,ISMIS,2005
2391,ismis/1991,ISMIS,1991
2392,ismis/1987,ISMIS,1987
2393,ismis/1999,ISMIS,1999
2394,ismis/2008,ISMIS,2008
2395,ismis/2003,ISMIS,2003
2396,ismis/2006,ISMIS,2006
2397,ismis/1996,ISMIS,1996
2398,ismis/2012,ISMIS,2012
2399,ismis/2011is,ISMIS Industrial Session,2011is
2400,ismis/2014,ISMIS,2014
2401,ismis/1993,ISMIS,1993
2402,ismis/1997,ISMIS,1997
2403,ismis/2000,ISMIS,2000
2404,ismis/2017,ISMIS,2017
2405,ismis/2011,ISMIS,2011
2406,ismis/2018,ISMIS,2018
2407,aimech/2015,AIM,2015
2408,aimech/2019,AIM,2019
2409,aimech/2013,AIM,2013
2410,aimech/2016,AIM,2016
2411,aimech/2014,AIM,2014
2412,aimech/2017,AIM,2017
2413,aimech/2018,AIM,2018
2414,mhs/2015,MHS,2015
2415,mhs/2013,MHS,2013
2416,mhs/2016,MHS,2016
2417,mhs/2012,MHS,2012
2418,mhs/2014,MHS,2014
2419,mhs/2017,MHS,2017
2420,mhs/2011,MHS,2011
2421,nordsec/2015,NordSec,2015
2422,nordsec/2009,NordSec,2009
2423,nordsec/2013,NordSec,2013
2424,nordsec/2016,NordSec,2016
2425,nordsec/2012,NordSec,2012
2426,nordsec/2014,NordSec,2014
2427,nordsec/2017,NordSec,2017
2428,nordsec/2010,NordSec,2010
2429,nordsec/2011,NordSec,2011
2430,nordsec/2018,NordSec,2018
2431,css/2013,CSS,2013
2432,css/2016,IUCC-CSS,2016
2433,css/2012,CSS,2012
2434,css/2017,CSS,2017
2435,css/2011,CSS,2011
2436,css/2018,CSS,2018
2437,webapps/2012,WebApps,2012
2438,webapps/2010,WebApps,2010
2439,webapps/2011,WebApps,2011
2440,dsde/2010,DSDE,2010
2441,ons/2014,ONS,2014
2442,wccce/2016,WCCCE,2016
2443,wccce/2014,WCCCE,2014
2444,csa/2005,Communication Systems and Applications,2005
2445,nds/2015,nDS,2015
2446,nds/2009,nDS,2009
2447,nds/2017,nDS,2017
2448,nds/2011,nDs,2011
2449,uidis/1999,UIDIS,1999
2450,uidis/2001,UIDIS,2001
2451,aswsd/2006,ASWSD,2006
2452,aswsd/2004,ASWSD,2004
2453,dais/2007,DAIS,2007
2454,dais/2015,DAIS,2015
2455,dais/2009,DAIS,2009
2456,dais/2005,DAIS,2005
2457,dais/2019,DAIS,2019
2458,dais/1999,DAIS,1999
2459,dais/2008,DAIS,2008
2460,dais/2003,DAIS,2003
2461,dais/2017shcis,SHCIS@DAIS,2017shcis
2462,dais/2006,DAIS,2006
2463,dais/2013,DAIS,2013
2464,dais/2001,DAIS,2001
2465,dais/2016,DAIS,2016
2466,dais/2012,DAIS,2012
2467,dais/2014,DAIS,2014
2468,dais/1997,DAIS,1997
2469,dais/2017,DAIS,2017
2470,dais/2010,DAIS,2010
2471,dais/2011,DAIS,2011
2472,dais/2018,DAIS,2018
2473,icarcv/2002,ICARCV,2002
2474,icarcv/2008,ICARCV,2008
2475,icarcv/2006,ICARCV,2006
2476,icarcv/2016,ICARCV,2016
2477,icarcv/2012,ICARCV,2012
2478,icarcv/2014,ICARCV,2014
2479,icarcv/2004,ICARCV,2004
2480,icarcv/2010,ICARCV,2010
2481,icarcv/2018,ICARCV,2018
2482,coapsn/2019,COAPSN,2019
2483,mln/2018,MLN,2018
2484,space/2015,SPACE,2015
2485,space/2013,SPACE,2013
2486,space/2016,SPACE,2016
2487,space/2012,SPACE,2012
2488,space/2014,SPACE,2014
2489,space/2017,SPACE,2017
2490,space/2018,SPACE,2018
2491,nicso/2008,NICSO,2008
2492,nicso/2013,NISCO,2013
2493,nicso/2010,NISCO,2010
2494,nicso/2011,NISCO,2011
2495,eceh/2007,ECEH,2007
2496,eceh/2006,ECEH,2006
2497,imcim/1995,Information Management in Computer Integrated Manufacturing,1995
2498,isc2/2015,ISC2,2015
2499,isc2/2016,ISC2,2016
2500,isc2/2018,ISC2,2018
2501,cybersa/2015,CyberSA,2015
2502,cybersa/2016,CyberSA,2016
2503,cybersa/2017,CyberSA,2017
2504,cybersa/2018,CyberSA,2018
2505,easc/2016,EASC,2016
2506,easc/2014,EASC,2014
2507,icdec/2019,ICDEc,2019
2508,icdec/2016,ICDEc,2016
2509,icdec/2017,ICDEc,2017
2510,icdec/2018,ICDEc,2018
2511,almodep/2011,AlMoDEP,2011
2512,yawl/2013,YAWL Symposium,2013
2513,iccbdc/2019,ICCBDC,2019
2514,iccbdc/2017,ICCDBC,2017
2515,iccbdc/2018,ICCBDC,2018
2516,eScience/2007,eScience,2007
2517,eScience/2015,e-Science,2015
2518,eScience/2009,eScience,2009
2519,eScience/2005,eScience,2005
2520,eScience/2008,eScience,2008
2521,eScience/2006,eScience,2006
2522,eScience/2013,eScience,2013
2523,eScience/2016,e-Science,2016
2524,eScience/2012,e-Science,2012
2525,eScience/2011w,eScience Workshops,2011w
2526,eScience/2014,eScience,2014
2527,eScience/2014w,eScience Workshops,2014w
2528,eScience/2017,e-Science,2017
2529,eScience/2010,eScience,2010
2530,eScience/2011,eScience,2011
2531,eScience/2018,e-Science,2018
2532,hlt/2010baltic,Baltic HLT,2010baltic
2533,hlt/2016baltic,Baltic HLT,2016baltic
2534,hlt/1986,HLT,1986
2535,hlt/2012baltic,Baltic HLT,2012baltic
2536,hlt/2018baltic,Baltic HLT,2018baltic
2537,hlt/2014baltic,Baltic HLT,2014baltic
2538,IEEEants/2015,ANTS,2015
2539,IEEEants/2013,IEEE ANTS,2013
2540,IEEEants/2016,ANTS,2016
2541,IEEEants/2012,IEEE ANTS,2012
2542,IEEEants/2014,IEEE ANTS,2014
2543,IEEEants/2017,ANTS,2017
2544,IEEEants/2011,IEEE ANTS,2011
2545,IEEEants/2018,ANTS,2018
2546,IEEEcsa/2009,CSA,2009
2547,icsm2/2018,ICSM,2018
2548,iwmn/2015,M&N,2015
2549,iwmn/2019,M&N,2019
2550,iwmn/2013,M&N,2013
2551,iwmn/2017,M&N,2017
2552,iwmn/2011,M&N,2011
2553,kaleidoscope/2015,Kaleidoscope,2015
2554,kaleidoscope/2009,Kaleidoscope,2009
2555,kaleidoscope/2013,Kaleidoscope,2013
2556,kaleidoscope/2016,Kaleidoscope,2016
2557,kaleidoscope/2014,Kaleidoscope,2014
2558,kaleidoscope/2017,Kaleidoscope,2017
2559,kaleidoscope/2010,Kaleidoscope,2010
2560,kaleidoscope/2011,Kaleidoscope,2011
2561,kaleidoscope/2018,Kaleidoscope,2018
